x,y,cell_number,p_stat, vel_u, vel_v
0.030612,0.904058,188,101330.854507,5.594897,0.031933
0.030612,0.914157,189,101330.803377,5.602397,0.028402
0.030612,0.924256,190,101330.758150,5.609031,0.024850
0.030612,0.934355,191,101330.718865,5.614801,0.021272
0.030612,0.944454,192,101330.685554,5.619707,0.017658
0.030612,0.954554,193,101330.658218,5.623756,0.013998
0.030612,0.964653,194,101330.636822,5.626952,0.010313
0.030612,0.974752,195,101330.620981,5.629346,0.006465
0.030612,0.984851,196,101330.610746,5.627990,0.002746
0.030612,0.994950,197,101330.606274,5.622820,0.000517
0.051020,0.005729,198,101346.167734,2.459200,0.069487
0.051020,0.015823,199,101346.061072,2.506106,0.135769
0.051020,0.025917,200,101345.972357,2.540854,0.148304
0.051020,0.036012,201,101345.873352,2.574175,0.166653
0.051020,0.046106,202,101345.767973,2.608445,0.181853
0.051020,0.056200,203,101345.656086,2.644007,0.195198
0.051020,0.066294,204,101345.537806,2.680850,0.206958
0.051020,0.076388,205,101345.413339,2.718908,0.217347
0.051020,0.086482,206,101345.282898,2.758104,0.226556
0.051020,0.096576,207,101345.146695,2.798358,0.234740
0.051020,0.106670,208,101345.004931,2.839588,0.242028
0.051020,0.116764,209,101344.857801,2.881713,0.248526
0.051020,0.126859,210,101344.705489,2.924656,0.254323
0.051020,0.136953,211,101344.548170,2.968342,0.259492
0.051020,0.147047,212,101344.386009,3.012702,0.264095
0.051020,0.157141,213,101344.219170,3.057669,0.268184
0.051020,0.167235,214,101344.047808,3.103178,0.271801
0.051020,0.177329,215,101343.872077,3.149171,0.274985
0.051020,0.187423,216,101343.692130,3.195589,0.277767
0.051020,0.197517,217,101343.508117,3.242380,0.280175
0.051020,0.207612,218,101343.320189,3.289489,0.282231
0.051020,0.217706,219,101343.128499,3.336869,0.283957
0.051020,0.227800,220,101342.933201,3.384471,0.285371
0.051020,0.237894,221,101342.734449,3.432250,0.286488
0.051020,0.247988,222,101342.532403,3.480161,0.287322
0.051020,0.258082,223,101342.327223,3.528163,0.287886
0.051020,0.268176,224,101342.119074,3.576213,0.288191
0.051020,0.278270,225,101341.908122,3.624272,0.288247
0.051020,0.288365,226,101341.694538,3.672302,0.288064
0.051020,0.298459,227,101341.478496,3.720266,0.287651
0.051020,0.308553,228,101341.260172,3.768127,0.287014
0.051020,0.318647,229,101341.039746,3.815850,0.286163
0.051020,0.328741,230,101340.817402,3.863401,0.285103
0.051020,0.338835,231,101340.593325,3.910747,0.283842
0.051020,0.348929,232,101340.367703,3.957857,0.282386
0.051020,0.359023,233,101340.140728,4.004698,0.280742
0.051020,0.369117,234,101339.912592,4.051240,0.278915
0.051020,0.379212,235,101339.683491,4.097455,0.276911
0.051020,0.389306,236,101339.453620,4.143313,0.274736
0.051020,0.399400,237,101339.223178,4.188787,0.272397
0.051020,0.409494,238,101338.992362,4.233851,0.269897
0.051020,0.419588,239,101338.761373,4.278479,0.267243
0.051020,0.429682,240,101338.530408,4.322646,0.264441
0.051020,0.439776,241,101338.299668,4.366327,0.261495
0.051020,0.449870,242,101338.069352,4.409501,0.258412
0.051020,0.459965,243,101337.839657,4.452144,0.255195
0.051020,0.470059,244,101337.610780,4.494235,0.251852
0.051020,0.480153,245,101337.382917,4.535753,0.248386
0.051020,0.490247,246,101337.156261,4.576680,0.244804
0.051020,0.500341,247,101336.931004,4.616996,0.241110
0.051020,0.510435,248,101336.707335,4.656684,0.237309
0.051020,0.520529,249,101336.485441,4.695726,0.233406
0.051020,0.530623,250,101336.265505,4.734106,0.229407
0.051020,0.540718,251,101336.047707,4.771808,0.225316
