x,y
0.153061,0.655615
0.153061,0.665598
0.153061,0.675580
0.153061,0.685562
0.153061,0.695544
0.153061,0.705526
0.153061,0.715508
0.153061,0.725491
0.153061,0.735473
0.153061,0.745455
0.153061,0.755437
0.153061,0.765419
0.153061,0.775401
0.153061,0.785384
0.153061,0.795366
0.153061,0.805348
0.153061,0.815330
0.153061,0.825312
0.153061,0.835294
0.153061,0.845276
0.153061,0.855259
0.153061,0.865241
0.153061,0.875223
0.153061,0.885205
0.153061,0.895187
0.153061,0.905169
0.153061,0.915152
0.153061,0.925134
0.153061,0.935116
0.153061,0.945098
0.153061,0.955080
0.153061,0.965062
0.153061,0.975045
0.153061,0.985027
0.153061,0.995009
0.173469,0.020072
0.173469,0.030021
0.173469,0.039969
0.173469,0.049918
0.173469,0.059866
0.173469,0.069815
0.173469,0.079763
0.173469,0.089712
0.173469,0.099660
0.173469,0.109609
0.173469,0.119557
0.173469,0.129506
0.173469,0.139454
0.173469,0.149403
0.173469,0.159351
0.173469,0.169300
0.173469,0.179248
0.173469,0.189197
0.173469,0.199145
0.173469,0.209094
0.173469,0.219042
0.173469,0.228991
0.173469,0.238939
0.173469,0.248888
0.173469,0.258836
0.173469,0.268785
0.173469,0.278733
0.173469,0.288682
0.173469,0.298630
0.173469,0.308579
0.173469,0.318527
0.173469,0.328476
0.173469,0.338424
0.173469,0.348373
0.173469,0.358321
0.173469,0.368270
0.173469,0.378218
0.173469,0.388167
0.173469,0.398115
0.173469,0.408064
0.173469,0.418012
0.173469,0.427961
0.173469,0.437909
0.173469,0.447858
0.173469,0.457806
0.173469,0.467755
0.173469,0.477703
0.173469,0.487652
0.173469,0.497600
0.173469,0.507549
0.173469,0.517497
0.173469,0.527446
0.173469,0.537394
0.173469,0.547343
0.173469,0.557291
0.173469,0.567240
0.173469,0.577188
0.173469,0.587137
0.173469,0.597085
0.173469,0.607034
0.173469,0.616983
0.173469,0.626931
0.173469,0.636880
0.173469,0.646828
0.173469,0.656777
0.173469,0.666725
0.173469,0.676674
0.173469,0.686622
0.173469,0.696571
0.173469,0.706519
0.173469,0.716468
0.173469,0.726416
0.173469,0.736365
0.173469,0.746313
0.173469,0.756262
0.173469,0.766210
0.173469,0.776159
0.173469,0.786107
0.173469,0.796056
0.173469,0.806004
0.173469,0.815953
0.173469,0.825901
0.173469,0.835850
0.173469,0.845798
0.173469,0.855747
0.173469,0.865695
0.173469,0.875644
0.173469,0.885592
0.173469,0.895541
0.173469,0.905489
0.173469,0.915438
0.173469,0.925386
0.173469,0.935335
0.173469,0.945283
0.173469,0.955232
0.173469,0.965180
0.173469,0.975129
0.173469,0.985077
0.173469,0.995026
0.193878,0.023802
0.193878,0.033712
0.193878,0.043623
0.193878,0.053534
0.193878,0.063444
0.193878,0.073355
0.193878,0.083265
0.193878,0.093176
0.193878,0.103087
0.193878,0.112997
0.193878,0.122908
0.193878,0.132819
0.193878,0.142729
0.193878,0.152640
0.193878,0.162551
0.193878,0.172461
0.193878,0.182372
0.193878,0.192283
0.193878,0.202193
0.193878,0.212104
0.193878,0.222015
0.193878,0.231925
0.193878,0.241836
0.193878,0.251746
0.193878,0.261657
0.193878,0.271568
0.193878,0.281478
0.193878,0.291389
0.193878,0.301300
0.193878,0.311210
0.193878,0.321121
0.193878,0.331032
0.193878,0.340942
0.193878,0.350853
0.193878,0.360764
0.193878,0.370674
0.193878,0.380585
0.193878,0.390495
0.193878,0.400406
0.193878,0.410317
0.193878,0.420227
0.193878,0.430138
0.193878,0.440049
0.193878,0.449959
0.193878,0.459870
0.193878,0.469781
0.193878,0.479691
0.193878,0.489602
0.193878,0.499513
0.193878,0.509423
0.193878,0.519334
0.193878,0.529244
0.193878,0.539155
0.193878,0.549066
0.193878,0.558976
0.193878,0.568887
0.193878,0.578798
0.193878,0.588708
0.193878,0.598619
0.193878,0.608530
0.193878,0.618440
0.193878,0.628351
0.193878,0.638262
0.193878,0.648172
0.193878,0.658083
0.193878,0.667993
0.193878,0.677904
0.193878,0.687815
0.193878,0.697725
0.193878,0.707636
0.193878,0.717547
0.193878,0.727457
0.193878,0.737368
0.193878,0.747279
0.193878,0.757189
0.193878,0.767100
0.193878,0.777011
0.193878,0.786921
0.193878,0.796832
0.193878,0.806742
0.193878,0.816653
0.193878,0.826564
0.193878,0.836474
0.193878,0.846385
0.193878,0.856296
0.193878,0.866206
0.193878,0.876117
0.193878,0.886028
0.193878,0.895938
0.193878,0.905849
0.193878,0.915760
0.193878,0.925670
0.193878,0.935581
0.193878,0.945491
0.193878,0.955402
0.193878,0.965313
0.193878,0.975223
0.193878,0.985134
0.193878,0.995045
0.214286,0.027946
0.214286,0.037814
0.214286,0.047683
0.214286,0.057551
0.214286,0.067420
0.214286,0.077288
0.214286,0.087157
0.214286,0.097026
0.214286,0.106894
0.214286,0.116763
0.214286,0.126631
0.214286,0.136500
0.214286,0.146368
0.214286,0.156237
0.214286,0.166106
0.214286,0.175974
0.214286,0.185843
0.214286,0.195711
0.214286,0.205580
0.214286,0.215448
0.214286,0.225317
0.214286,0.235186
0.214286,0.245054
0.214286,0.254923
0.214286,0.264791
0.214286,0.274660
0.214286,0.284528
0.214286,0.294397
0.214286,0.304266
0.214286,0.314134
0.214286,0.324003
0.214286,0.333871
0.214286,0.343740
0.214286,0.353608
0.214286,0.363477
0.214286,0.373346
0.214286,0.383214
0.214286,0.393083
0.214286,0.402951
0.214286,0.412820
0.214286,0.422688
0.214286,0.432557
0.214286,0.442426
0.214286,0.452294
0.214286,0.462163
0.214286,0.472031
0.214286,0.481900
0.214286,0.491768
0.214286,0.501637
0.214286,0.511506
0.214286,0.521374
0.214286,0.531243
0.214286,0.541111
0.214286,0.550980
0.214286,0.560848
0.214286,0.570717
0.214286,0.580586
0.214286,0.590454
0.214286,0.600323
0.214286,0.610191
0.214286,0.620060
0.214286,0.629929
0.214286,0.639797
0.214286,0.649666
0.214286,0.659534
0.214286,0.669403
0.214286,0.679271
0.214286,0.689140
0.214286,0.699009
0.214286,0.708877
0.214286,0.718746
0.214286,0.728614
0.214286,0.738483
0.214286,0.748351
0.214286,0.758220
0.214286,0.768089
0.214286,0.777957
0.214286,0.787826
0.214286,0.797694
0.214286,0.807563
0.214286,0.817431
0.214286,0.827300
0.214286,0.837169
0.214286,0.847037
0.214286,0.856906
0.214286,0.866774
0.214286,0.876643
0.214286,0.886511
0.214286,0.896380
0.214286,0.906249
0.214286,0.916117
0.214286,0.925986
0.214286,0.935854
0.214286,0.945723
0.214286,0.955591
0.214286,0.965460
0.214286,0.975329
0.214286,0.985197
0.214286,0.995066
0.234694,0.032504
0.234694,0.042326
0.234694,0.052148
0.234694,0.061971
0.234694,0.071793
0.234694,0.081615
