x,y
0.142857,0.740054
0.142857,0.750052
0.142857,0.760049
0.142857,0.770047
0.142857,0.780045
0.142857,0.790043
0.142857,0.800041
0.142857,0.810039
0.142857,0.820037
0.142857,0.830035
0.142857,0.840033
0.142857,0.850031
0.142857,0.860029
0.142857,0.870027
0.142857,0.880025
0.142857,0.890023
0.142857,0.900021
0.142857,0.910019
0.142857,0.920016
0.142857,0.930014
0.142857,0.940012
0.142857,0.950010
0.142857,0.960008
0.142857,0.970006
0.142857,0.980004
0.142857,0.990002
0.142857,1.000000
0.163265,0.013328
0.163265,0.023294
0.163265,0.033261
0.163265,0.043227
0.163265,0.053193
0.163265,0.063160
0.163265,0.073126
0.163265,0.083092
0.163265,0.093059
0.163265,0.103025
0.163265,0.112992
0.163265,0.122958
0.163265,0.132924
0.163265,0.142891
0.163265,0.152857
0.163265,0.162824
0.163265,0.172790
0.163265,0.182756
0.163265,0.192723
0.163265,0.202689
0.163265,0.212656
0.163265,0.222622
0.163265,0.232588
0.163265,0.242555
0.163265,0.252521
0.163265,0.262487
0.163265,0.272454
0.163265,0.282420
0.163265,0.292387
0.163265,0.302353
0.163265,0.312319
0.163265,0.322286
0.163265,0.332252
0.163265,0.342219
0.163265,0.352185
0.163265,0.362151
0.163265,0.372118
0.163265,0.382084
0.163265,0.392050
0.163265,0.402017
0.163265,0.411983
0.163265,0.421950
0.163265,0.431916
0.163265,0.441882
0.163265,0.451849
0.163265,0.461815
0.163265,0.471782
0.163265,0.481748
0.163265,0.491714
0.163265,0.501681
0.163265,0.511647
0.163265,0.521613
0.163265,0.531580
0.163265,0.541546
0.163265,0.551513
0.163265,0.561479
0.163265,0.571445
0.163265,0.581412
0.163265,0.591378
0.163265,0.601345
0.163265,0.611311
0.163265,0.621277
0.163265,0.631244
0.163265,0.641210
0.163265,0.651176
0.163265,0.661143
0.163265,0.671109
0.163265,0.681076
0.163265,0.691042
0.163265,0.701008
0.163265,0.710975
0.163265,0.720941
0.163265,0.730908
0.163265,0.740874
0.163265,0.750840
0.163265,0.760807
0.163265,0.770773
0.163265,0.780740
0.163265,0.790706
0.163265,0.800672
0.163265,0.810639
0.163265,0.820605
0.163265,0.830571
0.163265,0.840538
0.163265,0.850504
0.163265,0.860471
0.163265,0.870437
0.163265,0.880403
0.163265,0.890370
0.163265,0.900336
0.163265,0.910303
0.163265,0.920269
0.163265,0.930235
0.163265,0.940202
0.163265,0.950168
0.163265,0.960134
0.163265,0.970101
0.163265,0.980067
0.163265,0.990034
0.163265,1.000000
0.183673,0.016868
0.183673,0.026799
0.183673,0.036729
0.183673,0.046660
0.183673,0.056590
0.183673,0.066521
0.183673,0.076452
0.183673,0.086382
0.183673,0.096313
0.183673,0.106244
0.183673,0.116174
0.183673,0.126105
0.183673,0.136035
0.183673,0.145966
0.183673,0.155897
0.183673,0.165827
0.183673,0.175758
0.183673,0.185689
0.183673,0.195619
0.183673,0.205550
0.183673,0.215481
0.183673,0.225411
0.183673,0.235342
0.183673,0.245272
0.183673,0.255203
0.183673,0.265134
0.183673,0.275064
0.183673,0.284995
0.183673,0.294926
0.183673,0.304856
0.183673,0.314787
0.183673,0.324717
0.183673,0.334648
0.183673,0.344579
0.183673,0.354509
0.183673,0.364440
0.183673,0.374371
0.183673,0.384301
0.183673,0.394232
0.183673,0.404162
0.183673,0.414093
0.183673,0.424024
0.183673,0.433954
0.183673,0.443885
0.183673,0.453816
0.183673,0.463746
0.183673,0.473677
0.183673,0.483607
0.183673,0.493538
0.183673,0.503469
0.183673,0.513399
0.183673,0.523330
0.183673,0.533261
0.183673,0.543191
0.183673,0.553122
0.183673,0.563052
0.183673,0.572983
0.183673,0.582914
0.183673,0.592844
0.183673,0.602775
0.183673,0.612706
0.183673,0.622636
0.183673,0.632567
0.183673,0.642497
0.183673,0.652428
0.183673,0.662359
0.183673,0.672289
0.183673,0.682220
0.183673,0.692151
0.183673,0.702081
0.183673,0.712012
0.183673,0.721942
0.183673,0.731873
0.183673,0.741804
0.183673,0.751734
0.183673,0.761665
0.183673,0.771596
0.183673,0.781526
0.183673,0.791457
0.183673,0.801387
0.183673,0.811318
0.183673,0.821249
0.183673,0.831179
0.183673,0.841110
0.183673,0.851041
0.183673,0.860971
0.183673,0.870902
0.183673,0.880832
0.183673,0.890763
0.183673,0.900694
