x,y,cell_number,p_stat, vel_u, vel_v
0.030612,0.379111,136,101340.172174,4.005779,0.104831
0.030612,0.389207,137,101340.045004,4.031672,0.103950
0.030612,0.399303,138,101339.918124,4.057342,0.103032
0.030612,0.409399,139,101339.791601,4.082780,0.102077
0.030612,0.419494,140,101339.665501,4.107977,0.101086
0.030612,0.429590,141,101339.539892,4.132923,0.100059
0.030612,0.439686,142,101339.414842,4.157611,0.098996
0.030612,0.449782,143,101339.290420,4.182031,0.097898
0.030612,0.459877,144,101339.166695,4.206175,0.096764
0.030612,0.469973,145,101339.043736,4.230033,0.095596
0.030612,0.480069,146,101338.921613,4.253597,0.094392
0.030612,0.490165,147,101338.800396,4.276859,0.093155
0.030612,0.500260,148,101338.680154,4.299810,0.091884
0.030612,0.510356,149,101338.560959,4.322441,0.090580
0.030612,0.520452,150,101338.442879,4.344746,0.089242
0.030612,0.530548,151,101338.325985,4.366714,0.087872
0.030612,0.540643,152,101338.210347,4.388339,0.086470
0.030612,0.550739,153,101338.096034,4.409612,0.085037
0.030612,0.560835,154,101337.983116,4.430525,0.083573
0.030612,0.570931,155,101337.871662,4.451072,0.082078
0.030612,0.581026,156,101337.761740,4.471244,0.080553
0.030612,0.591122,157,101337.653419,4.491034,0.078998
0.030612,0.601218,158,101337.546764,4.510436,0.077415
0.030612,0.611314,159,101337.441844,4.529440,0.075804
0.030612,0.621409,160,101337.338724,4.548042,0.074165
0.030612,0.631505,161,101337.237470,4.566234,0.072499
0.030612,0.641601,162,101337.138145,4.584010,0.070807
0.030612,0.651697,163,101337.040812,4.601362,0.069089
0.030612,0.661792,164,101336.945535,4.618285,0.067346
0.030612,0.671888,165,101336.852374,4.634773,0.065578
0.030612,0.681984,166,101336.761390,4.650820,0.063787
0.030612,0.692080,167,101336.672641,4.666419,0.061973
0.030612,0.702175,168,101336.586185,4.681565,0.060136
0.030612,0.712271,169,101336.502079,4.696253,0.058278
0.030612,0.722367,170,101336.420377,4.710478,0.056398
0.030612,0.732463,171,101336.341135,4.724233,0.054498
0.030612,0.742558,172,101336.264403,4.737516,0.052578
0.030612,0.752654,173,101336.190233,4.750319,0.050639
0.030612,0.762750,174,101336.118674,4.762640,0.048681
0.030612,0.772846,175,101336.049775,4.774472,0.046706
0.030612,0.782941,176,101335.983583,4.785813,0.044713
0.030612,0.793037,177,101335.920142,4.796657,0.042703
0.030612,0.803133,178,101335.859496,4.807002,0.040676
0.030612,0.813229,179,101335.801688,4.816842,0.038634
0.030612,0.823324,180,101335.746758,4.826174,0.036576
0.030612,0.833420,181,101335.694746,4.834994,0.034503
0.030612,0.843516,182,101335.645691,4.843300,0.032414
0.030612,0.853612,183,101335.599629,4.851086,0.030311
0.030612,0.863707,184,101335.556597,4.858351,0.028192
0.030612,0.873803,185,101335.516631,4.865090,0.026058
0.030612,0.883899,186,101335.479765,4.871301,0.023907
0.030612,0.893995,187,101335.446034,4.876980,0.021738
0.030612,0.904090,188,101335.415473,4.882124,0.019550
0.030612,0.914186,189,101335.388116,4.886731,0.017339
0.030612,0.924282,190,101335.363999,4.890798,0.015102
0.030612,0.934378,191,101335.343153,4.894324,0.012832
0.030612,0.944473,192,101335.325604,4.897308,0.010524
0.030612,0.954569,193,101335.311354,4.899757,0.008164
0.030612,0.964665,194,101335.300369,4.901673,0.005777
0.030612,0.974761,195,101335.292312,4.903105,0.003223
0.030612,0.984856,196,101335.287229,4.901099,0.000801
0.030612,0.994952,197,101335.285253,4.895613,-0.000130
0.051020,0.006397,198,101344.599038,2.951898,0.099235
0.051020,0.016485,199,101344.450937,2.999846,0.173379
0.051020,0.026572,200,101344.356186,3.029837,0.157258
0.051020,0.036659,201,101344.248745,3.059020,0.163100
0.051020,0.046747,202,101344.143091,3.087231,0.164302
0.051020,0.056834,203,101344.036332,3.115531,0.165924
0.051020,0.066921,204,101343.928598,3.143805,0.167220
0.051020,0.077009,205,101343.819717,3.172106,0.168316
0.051020,0.087096,206,101343.709640,3.200443,0.169225
0.051020,0.097183,207,101343.598351,3.228823,0.169971
0.051020,0.107271,208,101343.485861,3.257245,0.170573
0.051020,0.117358,209,101343.372195,3.285703,0.171048
0.051020,0.127445,210,101343.257387,3.314191,0.171411
0.051020,0.137533,211,101343.141476,3.342701,0.171672
0.051020,0.147620,212,101343.024503,3.371224,0.171840
0.051020,0.157707,213,101342.906513,3.399749,0.171922
0.051020,0.167795,214,101342.787547,3.428269,0.171925
0.051020,0.177882,215,101342.667654,3.456772,0.171853
0.051020,0.187969,216,101342.546878,3.485250,0.171709
0.051020,0.198057,217,101342.425267,3.513692,0.171497
0.051020,0.208144,218,101342.302867,3.542088,0.171219
0.051020,0.218231,219,101342.179727,3.570429,0.170877
0.051020,0.228319,220,101342.055896,3.598706,0.170472
0.051020,0.238406,221,101341.931425,3.626909,0.170006
0.051020,0.248493,222,101341.806362,3.655028,0.169480
0.051020,0.258581,223,101341.680762,3.683053,0.168894
0.051020,0.268668,224,101341.554676,3.710977,0.168249
0.051020,0.278755,225,101341.428159,3.738788,0.167546
0.051020,0.288843,226,101341.301264,3.766478,0.166785
0.051020,0.298930,227,101341.174049,3.794037,0.165966
0.051020,0.309017,228,101341.046570,3.821457,0.165091
0.051020,0.319105,229,101340.918885,3.848726,0.164158
0.051020,0.329192,230,101340.791053,3.875838,0.163169
0.051020,0.339279,231,101340.663135,3.902780,0.162123
0.051020,0.349367,232,101340.535192,3.929546,0.161021
0.051020,0.359454,233,101340.407285,3.956125,0.159862
0.051020,0.369541,234,101340.279478,3.982509,0.158648
0.051020,0.379629,235,101340.151834,4.008686,0.157379
0.051020,0.389716,236,101340.024419,4.034651,0.156054
0.051020,0.399803,237,101339.897298,4.060391,0.154674
0.051020,0.409891,238,101339.770537,4.085899,0.153239
0.051020,0.419978,239,101339.644203,4.111165,0.151750
0.051020,0.430065,240,101339.518364,4.136180,0.150206
0.051020,0.440153,241,101339.393089,4.160936,0.148609
0.051020,0.450240,242,101339.268445,4.185424,0.146959
0.051020,0.460327,243,101339.144501,4.209634,0.145256
0.051020,0.470415,244,101339.021328,4.233558,0.143501
0.051020,0.480502,245,101338.898995,4.257187,0.141693
0.051020,0.490589,246,101338.777572,4.280513,0.139835
0.051020,0.500677,247,101338.657130,4.303527,0.137925
0.051020,0.510764,248,101338.537737,4.326221,0.135966
0.051020,0.520851,249,101338.419465,4.348586,0.133957
0.051020,0.530939,250,101338.302383,4.370615,0.131900
0.051020,0.541026,251,101338.186563,4.392299,0.129794
0.051020,0.551113,252,101338.072072,4.413630,0.127641
0.051020,0.561201,253,101337.958981,4.434601,0.125442
0.051020,0.571288,254,101337.847358,4.455204,0.123196
0.051020,0.581376,255,101337.737272,4.475431,0.120906
0.051020,0.591463,256,101337.628792,4.495275,0.118572
0.051020,0.601550,257,101337.521984,4.514728,0.116195
0.051020,0.611638,258,101337.416915,4.533784,0.113775
0.051020,0.621725,259,101337.313651,4.552436,0.111314
0.051020,0.631812,260,101337.212257,4.570677,0.108813
0.051020,0.641900,261,101337.112797,4.588499,0.106272
0.051020,0.651987,262,101337.015335,4.605898,0.103693
0.051020,0.662074,263,101336.919933,4.622866,0.101076
0.051020,0.672162,264,101336.826651,4.639398,0.098423
0.051020,0.682249,265,101336.735551,4.655486,0.095734
0.051020,0.692336,266,101336.646691,4.671127,0.093010
0.051020,0.702424,267,101336.560128,4.686312,0.090253
0.051020,0.712511,268,101336.475918,4.701039,0.087464
0.051020,0.722598,269,101336.394117,4.715301,0.084642
0.051020,0.732686,270,101336.314779,4.729093,0.081790
0.051020,0.742773,271,101336.237954,4.742410,0.078909
0.051020,0.752860,272,101336.163695,4.755248,0.075999
0.051020,0.762948,273,101336.092050,4.767601,0.073061
0.051020,0.773035,274,101336.023067,4.779465,0.070096
0.051020,0.783122,275,101335.956793,4.790837,0.067106
0.051020,0.793210,276,101335.893271,4.801711,0.064090
0.051020,0.803297,277,101335.832545,4.812085,0.061050
0.051020,0.813384,278,101335.774657,4.821954,0.057987
0.051020,0.823472,279,101335.719646,4.831314,0.054900
0.051020,0.833559,280,101335.667550,4.840163,0.051792
0.051020,0.843646,281,101335.618407,4.848496,0.048661
0.051020,0.853734,282,101335.572252,4.856312,0.045509
0.051020,0.863821,283,101335.529117,4.863606,0.042335
0.051020,0.873908,284,101335.489033,4.870377,0.039140
0.051020,0.883996,285,101335.452032,4.876620,0.035924
0.051020,0.894083,286,101335.418138,4.882337,0.032685
0.051020,0.904170,287,101335.387376,4.887523,0.029423
0.051020,0.914258,288,101335.359763,4.892178,0.026136
0.051020,0.924345,289,101335.335312,4.896302,0.022824
